dP,m,n,esc,pfil,ps,A,Cs,t,V,lm,km0,gx,meio
8.00E+05,3.63,0.19,0.819,1.07E+03,2808,2.29E-03,1.33E-04,900,1.85E-05,6.35E-03,1.48E-11,0.4,50
8.00E+05,3.63,0.19,0.819,1.07E+03,2808,2.29E-03,1.33E-04,1200,2.01E-05,6.35E-03,1.48E-11,0.4,50
8.00E+05,3.63,0.19,0.819,1.07E+03,2808,2.29E-03,1.33E-04,1500,2.17E-05,6.35E-03,1.48E-11,0.4,50
8.00E+05,3.63,0.19,0.819,1.07E+03,2808,2.29E-03,1.33E-04,1800,2.29E-05,6.35E-03,1.48E-11,0.4,50
1.00E+06,3.35,0.20,0.508,1.07E+03,2808,2.29E-03,1.33E-04,60,8.00E-06,6.35E-03,1.48E-11,0.4,50
1.00E+06,3.35,0.20,0.508,1.07E+03,2808,2.29E-03,1.33E-04,300,1.51E-05,6.35E-03,1.48E-11,0.4,50
1.00E+06,3.35,0.20,0.508,1.07E+03,2808,2.29E-03,1.33E-04,600,1.93E-05,6.35E-03,1.48E-11,0.4,50
1.00E+06,3.35,0.20,0.508,1.07E+03,2808,2.29E-03,1.33E-04,900,2.22E-05,6.35E-03,1.48E-11,0.4,50
1.00E+06,3.35,0.20,0.508,1.07E+03,2808,2.29E-03,1.33E-04,1200,2.42E-05,6.35E-03,1.48E-11,0.4,50
1.00E+06,3.35,0.20,0.508,1.07E+03,2808,2.29E-03,1.33E-04,1500,2.60E-05,6.35E-03,1.48E-11,0.4,50
1.00E+06,3.35,0.20,0.508,1.07E+03,2808,2.29E-03,1.33E-04,1800,2.73E-05,6.35E-03,1.48E-11,0.4,50
1.20E+06,3.48,0.19,0.795,1.08E+03,2808,2.29E-03,1.33E-04,60,9.13E-06,6.35E-03,1.48E-11,0.4,50
1.20E+06,3.48,0.19,0.795,1.08E+03,2808,2.29E-03,1.33E-04,300,1.73E-05,6.35E-03,1.48E-11,0.4,50
1.20E+06,3.48,0.19,0.795,1.08E+03,2808,2.29E-03,1.33E-04,600,2.24E-05,6.35E-03,1.48E-11,0.4,50
1.20E+06,3.48,0.19,0.795,1.08E+03,2808,2.29E-03,1.33E-04,900,2.57E-05,6.35E-03,1.48E-11,0.4,50
1.20E+06,3.48,0.19,0.795,1.08E+03,2808,2.29E-03,1.33E-04,1200,2.82E-05,6.35E-03,1.48E-11,0.4,50
